Crop,Days from Sowing (Start),Stage,Disease
Wheat,70,Flowering,Rust
Wheat,40,Stem Elongation / Jointing,Smut
Wheat,10,Germination,Healthy
Wheat,40,Stem Elongation / Jointing,Mildew
Wheat,25,Tillering,Leaf Spot
Wheat,25,Tillering,Healthy
Wheat,40,Stem Elongation / Jointing,Healthy
Wheat,55,Booting,Blight
Wheat,55,Booting,Rust
Wheat,105,Ripening,Rust
Wheat,10,Germination,Leaf Spot
Wheat,70,Flowering,Leaf Spot
Wheat,65,Heading,Leaf Spot
Wheat,55,Booting,Smut
Wheat,10,Germination,Smut
Wheat,25,Tillering,Blight
Wheat,105,Ripening,Mildew
Wheat,25,Tillering,Smut
Wheat,70,Flowering,Mildew
Wheat,55,Booting,Leaf Spot
Wheat,105,Ripening,Blight
Wheat,10,Germination,Blight
Chickpea,90,Reproductive Stages of Chickpea,Dry Root Rot
Chickpea,20,Vegetative Stage,Pod Borer Infestation
Chickpea,90,Reproductive Stages of Chickpea,Fusarium Wilt
Chickpea,120,Harvest,Pod Borer Infestation
Chickpea,10,Germination,Alternaria Leaf Spot
Chickpea,90,Reproductive Stages of Chickpea,Rust
Chickpea,120,Harvest,Alternaria Leaf Spot
Chickpea,90,Reproductive Stages of Chickpea,Pod Borer Infestation
Chickpea,90,Reproductive Stages of Chickpea,Botrytis Gray Mold
Chickpea,10,Germination,Pod Borer Infestation
Chickpea,90,Reproductive Stages of Chickpea,Alternaria Leaf Spot
Chickpea,20,Vegetative Stage,Alternaria Leaf Spot
Chickpea,90,Reproductive Stages of Chickpea,Collar Rot
Chickpea,90,Reproductive Stages of Chickpea,Ascochyta Blight
